UF,CIDADE,BAIRRO
PE,AFOGADOS DA INGAZEIRA,BOMFIN
PE,AFOGADOS DA INGAZEIRA,BORGES
PE,AFOGADOS DA INGAZEIRA,BROTAS
PE,AFOGADOS DA INGAZEIRA,CACHOEIRA CANCAO
PE,AFOGADOS DA INGAZEIRA,CAGEPE
PE,AFOGADOS DA INGAZEIRA,CAICARA
PE,AFOGADOS DA INGAZEIRA,CAIXA DAGUA
PE,AFOGADOS DA INGAZEIRA,CAMPINHOS
PE,AFOGADOS DA INGAZEIRA,CAMPO DE DEUS
PE,AFOGADOS DA INGAZEIRA,CAPOEIRAS
PE,AFOGADOS DA INGAZEIRA,CARAPUCAS
PE,AFOGADOS DA INGAZEIRA,CARAPUCAS - RURAL
PE,AFOGADOS DA INGAZEIRA,CARAPUCAS - SEDE
PE,AFOGADOS DA INGAZEIRA,CARMOPOLIS
PE,AFOGADOS DA INGAZEIRA,CARNAUBINHA
PE,AFOGADOS DA INGAZEIRA,CATOLE
PE,AFOGADOS DA INGAZEIRA,CEMITERIO
PE,AFOGADOS DA INGAZEIRA,CENTRAL
PE,AFOGADOS DA INGAZEIRA,CENTRO
PE,AFOGADOS DA INGAZEIRA,COHAB
PE,AFOGADOS DA INGAZEIRA,COHAB II
PE,AFOGADOS DA INGAZEIRA,COHAB NOVA
PE,AFOGADOS DA INGAZEIRA,CONJ HAB DOM FRANCISCO -
PE,AFOGADOS DA INGAZEIRA,COOPERATIVADO
PE,AFOGADOS DA INGAZEIRA,COSTA
PE,AFOGADOS DA INGAZEIRA,CURRAL VELHO
PE,AFOGADOS DA INGAZEIRA,DOIS RIACHOS
PE,AFOGADOS DA INGAZEIRA,DOM FRANCISCO
PE,AFOGADOS DA INGAZEIRA,ENCRUZILHADA
PE,AFOGADOS DA INGAZEIRA,FAVELA
PE,AFOGADOS DA INGAZEIRA,FERROVIARIA
PE,AFOGADOS DA INGAZEIRA,FOTOVOLTAICO - AFOGADOS D
PE,AFOGADOS DA INGAZEIRA,GANGORRA
PE,AFOGADOS DA INGAZEIRA,IBITIRANGA
PE,AFOGADOS DA INGAZEIRA,IZIDIO LEITE
PE,AFOGADOS DA INGAZEIRA,JATI
PE,AFOGADOS DA INGAZEIRA,JATOBA
PE,AFOGADOS DA INGAZEIRA,LARGE DO GATO
PE,AFOGADOS DA INGAZEIRA,MACAMBIRA
PE,AFOGADOS DA INGAZEIRA,MANOEL VALADARES
PE,AFOGADOS DA INGAZEIRA,MANOELA VALADARES
PE,AFOGADOS DA INGAZEIRA,MATADOURO
PE,AFOGADOS DA INGAZEIRA,MINADOURO
PE,AFOGADOS DA INGAZEIRA,MORADA NOVA
PE,AFOGADOS DA INGAZEIRA,NAZARE
PE,AFOGADOS DA INGAZEIRA,NOVA BRASILIA
PE,AFOGADOS DA INGAZEIRA,NOVA DESCOBERTA
PE,AFOGADOS DA INGAZEIRA,PACUS
PE,AFOGADOS DA INGAZEIRA,PAJEU MIRIM
PE,AFOGADOS DA INGAZEIRA,PARTICULAR
PE,AFOGADOS DA INGAZEIRA,PAU FERRO
PE,AFOGADOS DA INGAZEIRA,PE 320
PE,AFOGADOS DA INGAZEIRA,PE PEDRO PEREIRA
PE,AFOGADOS DA INGAZEIRA,PE. LUIZ GOIS
PE,AFOGADOS DA INGAZEIRA,PE. PEREIRA
PE,AFOGADOS DA INGAZEIRA,PINTADA
PE,AFOGADOS DA INGAZEIRA,PITOMBEIRA
PE,AFOGADOS DA INGAZEIRA,PLANALTO
PE,AFOGADOS DA INGAZEIRA,POCO
PE,AFOGADOS DA INGAZEIRA,PONTES
PE,AFOGADOS DA INGAZEIRA,POR DO SOL
PE,AFOGADOS DA INGAZEIRA,QUEIMADA GRANDE - SEDE -
PE,AFOGADOS DA INGAZEIRA,QUEIMADAS
PE,AFOGADOS DA INGAZEIRA,RODOVIARIA
PE,AFOGADOS DA INGAZEIRA,RURAL
PE,AFOGADOS DA INGAZEIRA,SANTIAGO
PE,AFOGADOS DA INGAZEIRA,SAO BRAZ
PE,AFOGADOS DA INGAZEIRA,SAO FRANCISCO
PE,AFOGADOS DA INGAZEIRA,SAO JOAO
PE,AFOGADOS DA INGAZEIRA,SAO JOAO VELHO
PE,AFOGADOS DA INGAZEIRA,SAO JOSE
PE,AFOGADOS DA INGAZEIRA,SAO JUDAS TADEU
PE,AFOGADOS DA INGAZEIRA,SAO PEDRO
PE,AFOGADOS DA INGAZEIRA,SAO SEBASTIAO
PE,AFOGADOS DA INGAZEIRA,SAUDE
PE,AFOGADOS DA INGAZEIRA,SIT. JATI
PE,AFOGADOS DA INGAZEIRA,SITIO - AFOGADOS DA INGAZ
PE,AFOGADOS DA INGAZEIRA,SOBREIRA
PE,AFOGADOS DA INGAZEIRA,STO. ANTONIO
PE,AFOGADOS DA INGAZEIRA,SUZY
PE,AFOGADOS DA INGAZEIRA,TAMBORIL
PE,AFOGADOS DA INGAZEIRA,TANQUE
PE,AFOGADOS DA INGAZEIRA,TORROES
PE,AFOGADOS DA INGAZEIRA,URBANO
PE,AFOGADOS DA INGAZEIRA,VARZEA COMPRIDA
PE,AFOGADOS DA INGAZEIRA,VARZINHA
PE,AFOGADOS DA INGAZEIRA,VARZINHA - SEDE - AFOGADO
PE,AFOGADOS DA INGAZEIRA,VILA AREAL
PE,AFOGADOS DA INGAZEIRA,VILA BOM JESUS
PE,AFOGADOS DA INGAZEIRA,VILA CAGEPE
PE,AFOGADOS DA INGAZEIRA,VILA DA COHAB
PE,AFOGADOS DA INGAZEIRA,VILA PINTADA
PE,AFOGADOS DA INGAZEIRA,VITORINO GOMES
PE,AFRANIO,ACUDINHO
PE,AFRANIO,AFRANIO
PE,AFRANIO,AFRANIO (RUR)
PE,AFRANIO,AFRANIO RURAL
PE,AFRANIO,ALTO CHEIROSO
PE,AFRANIO,ALTO VISTOSA
PE,AFRANIO,ALTO VISTOSO
PE,AFRANIO,ANTONIO AVELAR
PE,AFRANIO,ARIZONA (RUR)
PE,AFRANIO,ARIZONA RURAL
PE,AFRANIO,ARIZONA RURAL - AFRANIO
PE,AFRANIO,AVELAR D RODRIGUES
PE,AFRANIO,BAIRRO NOVO
PE,AFRANIO,BARRA DA MELANCIA
PE,AFRANIO,BARRA DA MELANCIA (RUR)
PE,AFRANIO,BARRA DA MELANCIA RURAL
PE,AFRANIO,BARRA DA MELANCIA RURAL -
PE,AFRANIO,BENEDITO RAMOS
PE,AFRANIO,BENVINDO RAMOS - AFRANIO
PE,AFRANIO,BR 407
PE,AFRANIO,BR 407 - ARIZONA
PE,AFRANIO,BR 633
PE,AFRANIO,CABOCLO
PE,AFRANIO,CABOCLO (RUR)
PE,AFRANIO,CABOCLO RURAL
PE,AFRANIO,CACHOEIRA DO ROBERTO
PE,AFRANIO,CACHOEIRA DO ROBERTO (RUR
PE,AFRANIO,CACHOEIRA DO ROBERTO CENTRO
PE,AFRANIO,CACHOEIRA DO ROBERTO RURA
PE,AFRANIO,CAPACIDADE
PE,AFRANIO,CENTRO
PE,AFRANIO,CENTRO - POCAO
PE,AFRANIO,CENTRO BARRA DA MELANCIA
PE,AFRANIO,CENTRO POVOADO DE ARIZONA
PE,AFRANIO,CIDADE JARDIM
PE,AFRANIO,CLAUDIO GALINDO
PE,AFRANIO,COHAB
PE,AFRANIO,COHAB 02
PE,AFRANIO,COMPRIDA
PE,AFRANIO,CONSTANCIO COELHO
PE,AFRANIO,COSNTANCIO CARVALHO - AFR
PE,AFRANIO,DOM AVILA
PE,AFRANIO,DORMENTES
PE,AFRANIO,EXTREMA
PE,AFRANIO,EXTREMA (RUR)
PE,AFRANIO,EXTREMA RURAL
PE,AFRANIO,EXTREMA RURAL - AFRANIO
PE,AFRANIO,FAZENDA CABOCLO
PE,AFRANIO,ISABEL GOMES
PE,AFRANIO,JOSE AFRANIO RURAL
PE,AFRANIO,JOSE C RAMOS
PE,AFRANIO,JOSE RAMOS CAVALCANTE
PE,AFRANIO,LAGOA DE FORA
PE,AFRANIO,LAGOA DE FORA (RUR)
PE,AFRANIO,LAGOA DE FORA RURAL
PE,AFRANIO,LOT. ROBERTO LUIZ
PE,AFRANIO,MANDIOCA BRAVA
PE,AFRANIO,MARCOS FERREIRA GOMES
PE,AFRANIO,MARIA AUXILIADORA
PE,AFRANIO,MONTE OREBE
PE,AFRANIO,NOVA OLINDA
PE,AFRANIO,PEDRINHAS
PE,AFRANIO,POCAO - CENTRO
PE,AFRANIO,POCAO - RURAL
PE,AFRANIO,POCAO (RUR)
PE,AFRANIO,POVOADO DE ARIZONA
PE,AFRANIO,RES
PE,AFRANIO,ROBERTO LUIZ
PE,AFRANIO,RURAL
PE,AFRANIO,RURAL BARRA DA MELANCIA
PE,AFRANIO,SEMIDOCEIA DA SILVA
PE,AFRANIO,SIT. CANAFISTOLA
PE,AFRANIO,SIT. CAVEIRA
PE,AFRANIO,SIT. DOIS IRMAOS
PE,AFRANIO,SIT. TRES PAUS
PE,AFRANIO,SIT. TRIUNFO
PE,AFRANIO,SITIO MANDIOCA
PE,AFRANIO,SITIO PANACIO
PE,AFRANIO,SITIO TRANQUEIRA
PE,AFRANIO,TABULEIRINHO
PE,AFRANIO,VEREDA DA SERRA
PE,AFRANIO,VILA
PE,AFRANIO,VILA ISABEL
PE,AFRANIO,VILA IZABEL GOMES
PE,AFRANIO,VILA LAGOA DE FORA
PE,AGRESTINA,AGRESINENSE
PE,AGRESTINA,AGRESTINA
PE,AGRESTINA,AGRESTINA (RUR)
PE,AGRESTINA,BAIRRO NOVO
PE,AGRESTINA,BARRA DO CHATA
PE,AGRESTINA,BARRA DO CHATA (RUR)
PE,AGRESTINA,BARRA DO JARDIM
PE,AGRESTINA,BARRA DO JARDIM (RUR)
PE,AGRESTINA,BARRA RIACHAO
PE,AGRESTINA,BATENTE
PE,AGRESTINA,BEATRIZ DE CASTRO LINO
PE,AGRESTINA,BOAS NOVAS
PE,AGRESTINA,BR 104
PE,AGRESTINA,BREJO VELHO
PE,AGRESTINA,CACHOEIRA
PE,AGRESTINA,CAPIVARA
PE,AGRESTINA,CARUARU
PE,AGRESTINA,CEACA
PE,AGRESTINA,CENTRO
PE,AGRESTINA,COHAB
PE,AGRESTINA,COMAR
PE,AGRESTINA,CRUZ AGUA BRANCA
PE,AGRESTINA,CRUZ AGUA BRANCA (RUR) -
PE,AGRESTINA,ENCANTO
PE,AGRESTINA,GUARIBAS
PE,AGRESTINA,IBIRICU
PE,AGRESTINA,IPIRANGA
PE,AGRESTINA,LOT JOAO MACIEL
PE,AGRESTINA,LOT M RIBEIRO
PE,AGRESTINA,LOT PARQUE DAS ANDORINHAS
PE,AGRESTINA,LOT PEDRO ALCANT
PE,AGRESTINA,LOT. IPIRANGA
PE,AGRESTINA,LOT. MARIA RITA
PE,AGRESTINA,LOT. N AGRESTINA
PE,AGRESTINA,LOT. NOVO AGRESTE
PE,AGRESTINA,LOTEAMENTO
PE,AGRESTINA,LOTTO CAMPO NOVO
PE,AGRESTINA,LOTTO HOZANA
PE,AGRESTINA,LOTTO JOAO DE DEUS
PE,AGRESTINA,LOTTO JUCA ALVES
PE,AGRESTINA,LOTTO MAURICIO DE NASSAU
PE,AGRESTINA,LOTTO PORTAL SERTAO I
PE,AGRESTINA,LOTTO SANTO ANTONIO
PE,AGRESTINA,LOTTO STO ANDRE
PE,AGRESTINA,M HELENA SILVA
PE,AGRESTINA,MARIA PRETA
PE,AGRESTINA,MARIA RIBEIRO
PE,AGRESTINA,MIGUEL ARRAES
PE,AGRESTINA,MONTE AZUL
PE,AGRESTINA,N AGRESTINA
PE,AGRESTINA,NOVO AGRESTE
PE,AGRESTINA,OLHO DAGUA
PE,AGRESTINA,PE - 149
PE,AGRESTINA,PE DE SERRA DOS MENDES
PE,AGRESTINA,PE DE SERRA DOS MENDES (R
PE,AGRESTINA,PETROPOLIS
PE,AGRESTINA,QUANDUS
PE,AGRESTINA,RIACHO DO PEIXE
PE,AGRESTINA,RIBEIRO
PE,AGRESTINA,RURAL
PE,AGRESTINA,S VARIANTE
PE,AGRESTINA,SAO CAETANO
PE,AGRESTINA,SERRA DO JARDIM
PE,AGRESTINA,SIT. AGUA BRANCA
PE,AGRESTINA,SIT. BARRA DO JARDIM
PE,AGRESTINA,SIT. CAJA
PE,AGRESTINA,SIT. EXU
PE,AGRESTINA,SIT. GUARIBAS
PE,AGRESTINA,SIT. JUCA GROSSO
PE,AGRESTINA,SIT. LAJEDO
PE,AGRESTINA,SIT. MARACAJA
PE,AGRESTINA,SIT. PATONHO
PE,AGRESTINA,SIT. QUEIMADA PEREIRA
PE,AGRESTINA,SIT. QUEIMADINHA
PE,AGRESTINA,SIT. RIACHAO MARACAJA
PE,AGRESTINA,SIT. RIACHO DO GADO
PE,AGRESTINA,SIT. RIACHO DO PEIXE
PE,AGRESTINA,SIT. SAPUCAIA DE BAIXO
PE,AGRESTINA,SIT. SAQUINHO
PE,AGRESTINA,SIT. STA. TEREZA
PE,AGRESTINA,SITIO
PE,AGRESTINA,SITIO AGUA BRANCA
PE,AGRESTINA,SITIO ALASTRADO - AGRESTI
PE,AGRESTINA,SITIO ALTO DO TATU
PE,AGRESTINA,SITIO BARRA DO CHATA
PE,AGRESTINA,SITIO BARRA DO RIO MENTIR
PE,AGRESTINA,SITIO BATENTE
PE,AGRESTINA,SITIO BREJO DA JAQUEIRA -
PE,AGRESTINA,SITIO CACHOEIRA
PE,AGRESTINA,SITIO CAPIVARA
PE,AGRESTINA,SITIO ENCANTO
PE,AGRESTINA,SITIO ESPERANCA
PE,AGRESTINA,SITIO EXU - AGRESTINA
PE,AGRESTINA,SITIO FUNDAO
PE,AGRESTINA,SITIO FURNAS - AGRESTINA
PE,AGRESTINA,SITIO JARARACA - AGRESTIN
PE,AGRESTINA,SITIO JENIPAPO - AGRESTIN
PE,AGRESTINA,SITIO JUCA GROSSO - AGRES
PE,AGRESTINA,SITIO LACOS - AGRESTINA
PE,AGRESTINA,SITIO LAJEDO DO BOI - AGR
PE,AGRESTINA,SITIO MACARANDUBA
PE,AGRESTINA,SITIO MARACAJA - AGRESTIN
PE,AGRESTINA,SITIO MARIA PRETA
PE,AGRESTINA,SITIO MARIA PRETA - AGRES
PE,AGRESTINA,SITIO OLHO DAGUA
PE,AGRESTINA,SITIO OLHO DAGUA - AGREST
PE,AGRESTINA,SITIO PATINHO
PE,AGRESTINA,SITIO PE DE SERRA DOS MEN
PE,AGRESTINA,SITIO PEDRINHA - AGRESTIN
PE,AGRESTINA,SITIO QUEIMADA DO PEREIRA
PE,AGRESTINA,SITIO QUEIMADINHA - AGRES
PE,AGRESTINA,SITIO RIACHAO
PE,AGRESTINA,SITIO RIACHAO - AGRESTINA
PE,AGRESTINA,SITIO RIACHO DO GADO
PE,AGRESTINA,SITIO SAPUCAIA - AGRESTIN
PE,AGRESTINA,SITIO SAQUINHO - AGRESTIN
PE,AGRESTINA,SITIO SERRA DA QUITERIA -
PE,AGRESTINA,SITIO SERRA DO JARDIM - A
PE,AGRESTINA,SITIO TERRA PRETA
PE,AGRESTINA,SITIO TERRA VERMELHA - AG
PE,AGRESTINA,SITIO VARZEA DO CAPIM - A
PE,AGRESTINA,SITIO VERTENTES
PE,AGRESTINA,STA. TEREZA
PE,AGRESTINA,TERRA PRETA
PE,AGRESTINA,VARIANTE
PE,AGRESTINA,VILA
PE,AGRESTINA,VILA BARRA DO JARDIM
PE,AGRESTINA,VILA CRUZ AGUA BRANCA
PE,AGRESTINA,VILA DO VARIANTE
PE,AGRESTINA,VILA IBIRICU
PE,AGRESTINA,VILA IPIRANGA
PE,AGRESTINA,VILA JARDIM - AGRESTINA
PE,AGRESTINA,VILA PE SERRA DOS MENDES
PE,AGRESTINA,VILA RICA
PE,AGRESTINA,VILA S MENDES
PE,AGRESTINA,VILA SERRA DO JARDIM
PE,AGRESTINA,VILA SERRA DO UMBUZEIRO
PE,AGRESTINA,VILA STA TEREZA
PE,AGRESTINA,VILA TERRA PRETA
PE,AGRESTINA,VILA UMBUZEIRO
PE,AGRESTINA,VILA VERTENTES
PE,AGUA PRETA,AGROVILA LIBERAL
PE,AGUA PRETA,AGUA MINERAL
PE,AGUA PRETA,AGUA PRETA
PE,AGUA PRETA,AGUA PRETA (RUR)
PE,AGUA PRETA,ALECRIM
PE,AGUA PRETA,ALEGRETE
PE,AGUA PRETA,ALTO DO CRUZEIRO
PE,AGUA PRETA,ARIADO
PE,AGUA PRETA,BAIRRO DA AGUA MINERAL
PE,AGUA PRETA,BAIRRO NOVO
PE,AGUA PRETA,BARRA LAMA
PE,AGUA PRETA,BOA ESPERANCA
PE,AGUA PRETA,BOA VISTA
PE,AGUA PRETA,BOM CONSELHO
PE,AGUA PRETA,BR 101
PE,AGUA PRETA,C. DO MORCEGO
PE,AGUA PRETA,CAMPOS FRIOS
PE,AGUA PRETA,CAROLINA
PE,AGUA PRETA,CENTRO
PE,AGUA PRETA,COHAB
PE,AGUA PRETA,CORRIENTE
PE,AGUA PRETA,CUMBE - AGUA PRETA
PE,AGUA PRETA,ENG ALEGRETE
PE,AGUA PRETA,ENG ALEGRETE - AGUA PRETA
PE,AGUA PRETA,ENG ALMESSEGA - AGUA PRET
PE,AGUA PRETA,ENG ARARUNA - AGUA PRETA
PE,AGUA PRETA,ENG ARRANCA - AGUA PRETA
PE,AGUA PRETA,ENG AVELOZ - AGUA PRETA
PE,AGUA PRETA,ENG BADALEGIO - AGUA PRET
PE,AGUA PRETA,ENG BEIJA FLOR - AGUA PRE
PE,AGUA PRETA,ENG BELA ROSA
PE,AGUA PRETA,ENG BELAMENTE - AGUA PRET
PE,AGUA PRETA,ENG BOM CONSELHO - AGUA P
PE,AGUA PRETA,ENG CACHOEIRA DANTAS - AG
PE,AGUA PRETA,ENG CACHOEIRA DO MORCEGO
PE,AGUA PRETA,ENG CANOA RACHADA - AGUA
PE,AGUA PRETA,ENG CAVADA - AGUA PRETA
PE,AGUA PRETA,ENG CONSELHO - AGUA PRETA
PE,AGUA PRETA,ENG CRUZ DE MALTA - AGUA
PE,AGUA PRETA,ENG CUMBE
PE,AGUA PRETA,ENG DOIS BRACOS - AGUA PR
PE,AGUA PRETA,ENG ELDORADO - AGUA PRETA
PE,AGUA PRETA,ENG ELDOURADO
PE,AGUA PRETA,ENG ESPIRITO SANTO - AGUA
PE,AGUA PRETA,ENG FLORENTE - AGUA PRETA
PE,AGUA PRETA,ENG FLORESCENTE
PE,AGUA PRETA,ENG FLORESCENTE - AGUA PR
PE,AGUA PRETA,ENG GALO
PE,AGUA PRETA,ENG LAJE DO UNA - AGUA PR
PE,AGUA PRETA,ENG MACACO
PE,AGUA PRETA,ENG MACACO - AGUA PRETA
PE,AGUA PRETA,ENG MAJESTOSO - AGUA PRET
PE,AGUA PRETA,ENG MANGUEIRA - AGUA PRET
PE,AGUA PRETA,ENG MAURICEIA
PE,AGUA PRETA,ENG MORENO - AGUA PRETA
PE,AGUA PRETA,ENG OURIVES - AGUA PRETA
PE,AGUA PRETA,ENG PARNAZIO
PE,AGUA PRETA,ENG PARNAZO - AGUA PRETA
PE,AGUA PRETA,ENG PASTINHO - AGUA PRETA
PE,AGUA PRETA,ENG PASTO GRANDE - AGUA P
PE,AGUA PRETA,ENG PERNAMBUCO - AGUA PRE
PE,AGUA PRETA,ENG PINDOBAL - AGUA PRETA
PE,AGUA PRETA,ENG PIRANGI - AGUA PRETA
PE,AGUA PRETA,ENG PORTO SEGURO
PE,AGUA PRETA,ENG POTOSI - AGUA PRETA
PE,AGUA PRETA,ENG PRATO GRANDE - AGUA P
PE,AGUA PRETA,ENG PRIVILEGIO - AGUA PRE
PE,AGUA PRETA,ENG SACRAMENTO - AGUA PRE
PE,AGUA PRETA,ENG SOUZA - AGUA PRETA
PE,AGUA PRETA,ENG STO ANTONIO - AGUA PR
PE,AGUA PRETA,ENG VENTUROSO
PE,AGUA PRETA,ENG VENTUROSO - AGUA PRET
PE,AGUA PRETA,ENG VIDA NOVA - AGUA PRET
PE,AGUA PRETA,ENGENHO BARRA DE OURO
PE,AGUA PRETA,ENGENHO BARRA DO SERINGAL
PE,AGUA PRETA,ENGENHO BOMFIM
PE,AGUA PRETA,ENGENHO GABINETE
PE,AGUA PRETA,ENGENHO GUARANY
PE,AGUA PRETA,ENGENHO MANGUEIRA
PE,AGUA PRETA,ENGENHO PEDRA IMA
PE,AGUA PRETA,ENGENHO POCO FUNDO
PE,AGUA PRETA,ENGENHO SOUZA
PE,AGUA PRETA,ENGENHO STA. TEREZA
PE,AGUA PRETA,ENGENHO TAMATIAO
PE,AGUA PRETA,ESPERANCA
PE,AGUA PRETA,EUDOCIA
PE,AGUA PRETA,FAZ ANDALUZ - AGUA PRETA
PE,AGUA PRETA,FAZ BARRA LARGA - AGUA PR
PE,AGUA PRETA,FAZ CORUJA - AGUA PRETA
PE,AGUA PRETA,FAZ GIRONDY - AGUA PRETA
PE,AGUA PRETA,FAZ JATOBA - AGUA PRETA
PE,AGUA PRETA,FAZ PALANQUETE - AGUA PRE
PE,AGUA PRETA,FAZ SANTA HELENA - AGUA P
PE,AGUA PRETA,FAZ SANTA RITA - AGUA PRE
PE,AGUA PRETA,FAZ TABOSA - AGUA PRETA
PE,AGUA PRETA,FAZ VALE DO PIRAGIBE - AG
PE,AGUA PRETA,FAZ VALE DO UNA - AGUA PR
PE,AGUA PRETA,FAZENDA CAMARAO
PE,AGUA PRETA,FAZENDA CHAPEU DE COURO
PE,AGUA PRETA,FEZ BARONESA - AGUA PRETA
PE,AGUA PRETA,FLOR DE MARIA
PE,AGUA PRETA,FLOR DE MARIA - AGUA PRET
PE,AGUA PRETA,FORROZAO
PE,AGUA PRETA,JACUIPE
PE,AGUA PRETA,JARDIM CAROLINA
PE,AGUA PRETA,JIQUIA
PE,AGUA PRETA,JIQUIAZINHO
PE,AGUA PRETA,JOAQUIM COUTINHO
PE,AGUA PRETA,JOAQUIM NABUCO
PE,AGUA PRETA,L ENEDINA
PE,AGUA PRETA,L V RODRIGUES
PE,AGUA PRETA,LIBERAL
PE,AGUA PRETA,LIBERDADE
PE,AGUA PRETA,MACARIO
PE,AGUA PRETA,MARGEM PE 96
PE,AGUA PRETA,NOVA PERNAZO
PE,AGUA PRETA,PARNASIO II
PE,AGUA PRETA,PE 096
PE,AGUA PRETA,PORTO SEGURO
PE,AGUA PRETA,POSTO FISCAL
PE,AGUA PRETA,RURAL
PE,AGUA PRETA,SANTA TEREZINHA
PE,AGUA PRETA,SIT SAO JOSE - AGUA PRETA
PE,AGUA PRETA,SIT. PASCOAL
PE,AGUA PRETA,STA. TEREZA
PE,AGUA PRETA,STA. TEREZINHA (RUR)
PE,AGUA PRETA,STO. ANTONIO
PE,AGUA PRETA,SUZY
PE,AGUA PRETA,TAMATIAO
PE,AGUA PRETA,TAMATIAOZINHO
PE,AGUA PRETA,VENTUROSA
PE,AGUA PRETA,VILA
PE,AGUA PRETA,VILA ALEGRETE
PE,AGUA PRETA,VILA CAMPOS FRIOS
PE,AGUA PRETA,VILA LIBERAL
PE,AGUA PRETA,VILA SOCIAL
PE,AGUA PRETA,XEXEU
PE,AGUAS BELAS,AGUAS BELAS
PE,AGUAS BELAS,AGUAS BELAS (RUR)
PE,AGUAS BELAS,ALDEIA
PE,AGUAS BELAS,ALDEIA FUNIO
PE,AGUAS BELAS,BELA VISTA
PE,AGUAS BELAS,BELDROEGA
PE,AGUAS BELAS,BELDROEGA - AGUAS BELAS
PE,AGUAS BELAS,BOM CONSELHO
PE,AGUAS BELAS,BR 423
PE,AGUAS BELAS,BREJAO
PE,AGUAS BELAS,CAMPO GRANDE
PE,AGUAS BELAS,CAMPO GRANDE - AGUAS BELA
PE,AGUAS BELAS,CAMPO GRANDE (RURAL)
PE,AGUAS BELAS,CAPOEIRA DO GARCIA
PE,AGUAS BELAS,CENTRO
PE,AGUAS BELAS,COMUNATY
PE,AGUAS BELAS,CURRAIS NOVOS - AGUAS BEL
PE,AGUAS BELAS,CURRAIS NOVOS (RUR)
PE,AGUAS BELAS,CURRAL NOVO
PE,AGUAS BELAS,FAZENDA ALIANCA - AGUAS B
PE,AGUAS BELAS,FAZENDA BARRA NOVA - AGUA
PE,AGUAS BELAS,FAZENDA BENTO LEITE - AGU
PE,AGUAS BELAS,FAZENDA BOI BRANCO - AGUA
PE,AGUAS BELAS,FAZENDA CACHOEIRA - AGUAS
PE,AGUAS BELAS,FAZENDA CAIARA - AGUAS BE
